P_theta_norm	P_choose_bayes	P_choose_bayes_SE	Bayes_risk	Bayes_risk_SE	combined_risk	combined_risk_SE
0.00	1.00	0.00	13.26	0.06	13.26	0.06
0.91	1.00	0.00	13.47	0.06	13.47	0.06
1.82	1.00	0.00	14.10	0.06	14.10	0.06
2.73	1.00	0.00	15.13	0.06	15.13	0.06
3.64	1.00	0.00	16.58	0.07	16.58	0.07
4.55	1.00	0.00	18.45	0.07	18.45	0.07
5.46	1.00	0.00	20.72	0.08	20.82	0.09
6.37	0.99	0.00	23.41	0.09	23.94	0.13
7.27	0.94	0.00	26.52	0.09	28.84	0.20
8.18	0.80	0.01	30.04	0.10	36.40	0.25
9.09	0.52	0.01	33.97	0.11	44.70	0.23
10.00	0.22	0.01	38.31	0.12	49.53	0.19
10.91	0.06	0.00	43.07	0.12	50.42	0.19
11.82	0.01	0.00	48.24	0.13	50.16	0.20
12.73	0.00	0.00	53.82	0.14	50.01	0.20
13.64	0.00	0.00	59.82	0.15	50.00	0.20
14.55	0.00	0.00	66.23	0.16	50.00	0.20
15.46	0.00	0.00	73.06	0.17	50.00	0.20
16.37	0.00	0.00	80.35	0.18	49.90	0.20
17.28	0.00	0.00	88.01	0.18	49.90	0.20
