P_theta_norm	P_choose_bayes	P_choose_bayes_SE	Bayes_risk	Bayes_risk_SE	combined_risk	combined_risk_SE
0.00	1.00	0.00	13.26	0.06	13.26	0.06
0.91	1.00	0.00	13.47	0.06	13.47	0.06
1.82	1.00	0.00	14.10	0.06	14.10	0.06
2.73	1.00	0.00	15.13	0.06	15.13	0.06
3.64	1.00	0.00	16.58	0.07	16.58	0.07
4.55	1.00	0.00	18.45	0.07	18.45	0.07
5.46	1.00	0.00	20.72	0.08	20.72	0.08
6.37	1.00	0.00	23.41	0.09	23.41	0.09
7.27	1.00	0.00	26.52	0.09	26.52	0.09
8.18	1.00	0.00	30.04	0.10	30.05	0.10
9.09	0.99	0.00	33.97	0.11	34.39	0.13
10.00	0.94	0.00	38.31	0.12	40.09	0.16
10.91	0.76	0.01	43.07	0.12	47.40	0.17
11.82	0.46	0.01	48.24	0.13	52.46	0.16
12.73	0.17	0.01	53.82	0.14	52.67	0.21
13.64	0.04	0.00	59.82	0.15	51.01	0.22
14.55	0.01	0.00	66.23	0.16	50.20	0.21
15.46	0.00	0.00	73.06	0.17	50.00	0.20
16.37	0.00	0.00	80.35	0.18	49.92	0.20
17.28	0.00	0.00	88.01	0.18	49.90	0.20
