P_theta_norm	P_choose_bayes	P_choose_bayes_SE	Bayes_risk	Bayes_risk_SE	combined_risk	combined_risk_SE
0.00	1.00	0.00	13.26	0.06	13.51	0.11
0.91	0.99	0.00	13.47	0.06	13.90	0.13
1.82	0.99	0.00	14.10	0.06	14.88	0.16
2.73	0.96	0.00	15.13	0.06	17.03	0.22
3.64	0.90	0.01	16.58	0.07	21.32	0.30
4.55	0.75	0.01	18.45	0.07	28.81	0.37
5.46	0.52	0.01	20.72	0.08	37.63	0.37
6.37	0.26	0.01	23.41	0.09	45.27	0.29
7.27	0.08	0.01	26.52	0.09	49.00	0.22
8.18	0.02	0.00	30.04	0.10	49.91	0.20
9.09	0.00	0.00	33.97	0.11	50.00	0.20
10.00	0.00	0.00	38.31	0.12	50.00	0.20
10.91	0.00	0.00	43.07	0.12	50.00	0.20
11.82	0.00	0.00	48.24	0.13	50.00	0.20
12.73	0.00	0.00	53.82	0.14	50.00	0.20
13.64	0.00	0.00	59.82	0.15	50.00	0.20
14.55	0.00	0.00	66.23	0.16	50.00	0.20
15.46	0.00	0.00	73.06	0.17	50.00	0.20
16.37	0.00	0.00	80.35	0.18	49.90	0.20
17.28	0.00	0.00	88.01	0.18	49.90	0.20
