P_theta_norm	P_choose_bayes	P_choose_bayes_SE	Bayes_risk	Bayes_risk_SE	combined_risk	combined_risk_SE
0.00	0.99	0.00	13.26	0.06	14.08	0.16
0.91	0.98	0.00	13.47	0.06	14.48	0.18
1.82	0.97	0.00	14.10	0.06	15.85	0.22
2.73	0.92	0.01	15.13	0.06	18.86	0.29
3.64	0.82	0.01	16.58	0.07	24.59	0.36
4.55	0.64	0.01	18.45	0.07	32.51	0.40
5.46	0.39	0.01	20.72	0.08	41.26	0.35
6.37	0.16	0.01	23.41	0.09	47.36	0.26
7.27	0.04	0.00	26.52	0.09	49.56	0.21
8.18	0.01	0.00	30.04	0.10	49.96	0.20
9.09	0.00	0.00	33.97	0.11	50.00	0.20
10.00	0.00	0.00	38.31	0.12	50.00	0.20
10.91	0.00	0.00	43.07	0.12	50.00	0.20
11.82	0.00	0.00	48.24	0.13	50.00	0.20
12.73	0.00	0.00	53.82	0.14	50.00	0.20
13.64	0.00	0.00	59.82	0.15	50.00	0.20
14.55	0.00	0.00	66.23	0.16	50.00	0.20
15.46	0.00	0.00	73.06	0.17	50.00	0.20
16.37	0.00	0.00	80.35	0.18	49.90	0.20
17.28	0.00	0.00	88.01	0.18	49.90	0.20
